AA,Isotope,T0A_1,T0A_2,T0B_1,T0B_2,T1_1,T1_2,T2_1,T2_2,T3_1,T3_2,T4_1,T4_2,T5_1,T5_2,T6_1,T6_2,T7_1,T7_2,T8_1,T8_2,T9_1,T9_2,T10_1,T10_2,T11_1,T11_2,T12_1,T12_2
alanine,C12 PARENT,1,1,1,1,1,1,1,1,1,0.926199,0.940066,1,0.80414,0.917705,0.844058,0.828058,0.416063,0.390624,0.527875,0.584823,0.67442,0.528575,0.394067,0.420092,0.363563,0.273674,0.315786,0.313694
alanine,O18-label-1,0,0,0,0,0,0,0,0,0,0.0738005,0.0599343,0,0.19586,0.0822954,0.125986,0.171942,0.442817,0.413118,0.472125,0.290907,0.32558,0.288633,0.405239,0.365469,0.387962,0.443658,0.549001,0.520217
alanine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299557,0,0.14112,0.196258,0,0.12427,0,0.182792,0.200694,0.21444,0.248474,0.282667,0.135213,0.166089
arginine,C12 PARENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50925,0.543816,0.598866,0.655618,1,0.536893,0.348184,0.421541,0.392224,0.359279,0.377675,0.369665
arginine,O18-label-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49075,0.456184,0.401134,0.344382,0,0.463107,0.570313,0.578459,0.607776,0.640721,0.498746,0.529556
arginine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815035,0,0,0,0.123579,0.100779
asparagine,C12 PARENT,0,1,1,1,1,1,1,1,0.684763,0.746131,1,0.56937,0.853072,0.835445,0.792945,0.71084,0.469954,0.43754,0.558069,0.546301,0.396216,1,0.330255,0.325987,0.283314,0.29197,0.364902,0.345032
asparagine,O18-label-1,0,0,0,0,0,0,0,0,0.315237,0.253869,0,0.43063,0.146928,0.164555,0.207055,0.28916,0.530046,0.517124,0.409173,0.436892,0.563046,0,0.583763,0.674013,0.62452,0.70803,0.518389,0.525741
asparagine,O18-label-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453358,0.0327577,0.016806,0.0407382,0,0.0859824,0,0.0848121,0,0.111654,0.122968
asparagine,O18-label-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00735372,0,0.00505501,0.0062593
aspartate,C12 PARENT,1,0.987256,1,1,0.97477,0.985246,1,0.934026,0.866791,0.993176,0.850956,1,0.763853,0.782414,0.727647,0.639613,0.215229,0.823665,1,0.399004,0.335852,0.583743,0.192687,0.500703,0.210335,1,0.0880225,0.0970965
aspartate,O18-label-1,0,0,0,0,0.0252296,0.0147536,0,0.0659744,0.12208,0,0.149044,0,0.191627,0.187773,0.185673,0.241052,0.333521,0,0,0.420267,0.334236,0.416257,0.257917,0,0.336188,0,0.288322,0.28419
aspartate,O18-label-2,0,0,0,0,0,0,0,0,0.011129,0.00682449,0,0,0.039043,0.029813,0.0675119,0.0747104,0.385725,0,0,0,0.295197,0,0.315107,0,0,0,0.37996,0.355298
aspartate,O18-label-3,0,0.0127445,0,0,0,0,0,0,0,0,0,0,0.00547708,0,0.0191675,0.0446246,0,0,0,0.180729,0,0,0.23429,0.499297,0.453477,0,0.213655,0.220396
aspartate,O18-label-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655243,0.176335,0,0,0.0347158,0,0,0,0,0,0.0300405,0.0430203
glutamate,C12 PARENT,1,1,1,1,0.964957,0.964247,0.92041,0.912726,0.83179,0.843826,0.800853,0.797006,0.729799,0.725247,0.618208,0.61941,0.146996,0.146746,0.246531,0.238019,0.154182,0.159685,0.0868855,0.077513,0.0759847,0.0726215,0.0884311,0.0922798
