formula,compound,isotopeLabel,Sample,IonCount,fraction.all
C3H7NO2,alanine,C12 PARENT,col009b2_T0,1626286.5,0.99416594
C3H7NO2,alanine,O18-label-1,col009b2_T0,9543.53,0.00583406
C3H7NO2,alanine,O18-label-2,col009b2_T0,0,0
C6H14N4O2,arginine,C12 PARENT,col009b2_T0,30737.02,1
C6H14N4O2,arginine,O18-label-1,col009b2_T0,0,0
C6H14N4O2,arginine,O18-label-2,col009b2_T0,0,0
C4H8N2O3,asparagine,C12 PARENT,col009b2_T0,19044.56,0.910011215
C4H8N2O3,asparagine,O18-label-1,col009b2_T0,1883.27,0.089988785
C4H8N2O3,asparagine,O18-label-2,col009b2_T0,0,0
C4H7NO4,aspartate,C12 PARENT,col009b2_T0,10476.39,1
C4H7NO4,aspartate,O18-label-1,col009b2_T0,0,0
C4H7NO4,aspartate,O18-label-2,col009b2_T0,0,0
C4H7NO4,aspartate,O18-label-3,col009b2_T0,0,0
C4H7NO4,aspartate,O18-label-4,col009b2_T0,0,0
C5H9NO4,glutamate,C12 PARENT,col009b2_T0,640640.94,0.995289935
C5H9NO4,glutamate,O18-label-1,col009b2_T0,3031.74,0.004710065
C5H9NO4,glutamate,O18-label-2,col009b2_T0,0,0
C5H9NO4,glutamate,O18-label-3,col009b2_T0,0,0
C5H9NO4,glutamate,O18-label-4,col009b2_T0,0,0
C5H10N2O3,glutamine,C12 PARENT,col009b2_T0,855539.69,0.995498253
C5H10N2O3,glutamine,O18-label-1,col009b2_T0,3868.84,0.004501747
C5H10N2O3,glutamine,O18-label-2,col009b2_T0,0,0
C5H10N2O3,glutamine,O18-label-3,col009b2_T0,0,0
C2H5NO2,glycine,C12 PARENT,col009b2_T0,25572.81,1
C2H5NO2,glycine,O18-label-1,col009b2_T0,0,0
C2H5NO2,glycine,O18-label-2,col009b2_T0,0,0
C6H9N3O2,histidine,C12 PARENT,col009b2_T0,353388.38,0.991490743
C6H9N3O2,histidine,O18-label-1,col009b2_T0,3032.88,0.008509257
C6H9N3O2,histidine,O18-label-2,col009b2_T0,0,0
C6H13NO2,isoleucine,C12 PARENT,col009b2_T0,153086.34,0.996960465
C6H13NO2,isoleucine,O18-label-1,col009b2_T0,466.73,0.003039535
C6H13NO2,isoleucine,O18-label-2,col009b2_T0,0,0
C6H14N2O2,lysine,C12 PARENT,col009b2_T0,5740.14,1
C6H14N2O2,lysine,O18-label-1,col009b2_T0,0,0
C6H14N2O2,lysine,O18-label-2,col009b2_T0,0,0
C5H11NO2S,methionine,C12 PARENT,col009b2_T0,20855.65,1
C5H11NO2S,methionine,O18-label-1,col009b2_T0,0,0
C5H11NO2S,methionine,O18-label-2,col009b2_T0,0,0
C9H11NO2,phenylalanine,C12 PARENT,col009b2_T0,357443.62,0.994034767
C9H11NO2,phenylalanine,O18-label-1,col009b2_T0,1732.37,0.004817644
C9H11NO2,phenylalanine,O18-label-2,col009b2_T0,412.66,0.001147589
C5H9NO2,proline,C12 PARENT,col009b2_T0,272686.12,0.997387786
C5H9NO2,proline,O18-label-1,col009b2_T0,714.18,0.002612214
C5H9NO2,proline,O18-label-2,col009b2_T0,0,0
C3H7NO3,serine,C12 PARENT,col009b2_T0,15845.36,1
C3H7NO3,serine,O18-label-1,col009b2_T0,0,0
C3H7NO3,serine,O18-label-2,col009b2_T0,0,0
C3H7NO3,serine,O18-label-3,col009b2_T0,0,0
C4H9NO3,threonine,C12 PARENT,col009b2_T0,54901.08,0.992360062
C4H9NO3,threonine,O18-label-1,col009b2_T0,422.67,0.007639938
C4H9NO3,threonine,O18-label-2,col009b2_T0,0,0
C11H12N2O2,tryptophan,C12 PARENT,col009b2_T0,46749.62,0.975301005
C11H12N2O2,tryptophan,O18-label-1,col009b2_T0,1183.91,0.024698995
C11H12N2O2,tryptophan,O18-label-2,col009b2_T0,0,0
C9H11NO3,tyrosine,C12 PARENT,col009b2_T0,6577.55,1
C9H11NO3,tyrosine,O18-label-1,col009b2_T0,0,0
C9H11NO3,tyrosine,O18-label-2,col009b2_T0,0,0
C5H11NO2,valine,C12 PARENT,col009b2_T0,130687.24,0.99666219
C5H11NO2,valine,O18-label-1,col009b2_T0,437.67,0.00333781
C5H11NO2,valine,O18-label-2,col009b2_T0,0,0
C3H7NO2,alanine,C12 PARENT,col009b2_T1,732377.56,0.903406828
C3H7NO2,alanine,O18-label-1,col009b2_T1,57281.63,0.070658385
C3H7NO2,alanine,O18-label-2,col009b2_T1,21024.92,0.025934787
C6H14N4O2,arginine,C12 PARENT,col009b2_T1,12084.35,0.627557623
C6H14N4O2,arginine,O18-label-1,col009b2_T1,5579.74,0.289763899
C6H14N4O2,arginine,O18-label-2,col009b2_T1,1592.07,0.082678478
C4H8N2O3,asparagine,C12 PARENT,col009b2_T1,11315.98,0.68889361
