"Name","AA","Total","Sample","C12 PARENT","O18-label-1","O18-label-2","O18-label-3","O18-label-4"
"Alanine","A",2,"col009b_T0",0.998105742,0.001894258,0,NA,NA
"Alanine","A",2,"col009b_T1",0.54697028,0.137989921,0.3150398,NA,NA
"Alanine","A",2,"col009b_T2",0.518642539,0.121910796,0.359446665,NA,NA
"Alanine","A",2,"col009b_T3",0.628628496,0.102806275,0.268565228,NA,NA
"Alanine","A",2,"col009b_T4",0.630899925,0.101144723,0.267955353,NA,NA
"Alanine","A",2,"col009b_T5",0.707994412,0.090237951,0.201767636,NA,NA
"Alanine","A",2,"col009b_T6",0.786064935,0.075558167,0.138376898,NA,NA
"Alanine","A",2,"col009b_T7",0.854929694,0.067480201,0.077590105,NA,NA
"Alanine","A",2,"col009b_T8",0.78650366,0.083106064,0.130390277,NA,NA
"Arginine","R",2,"col009b_T0",0.996320566,0.002238406,0.001441028,NA,NA
"Arginine","R",2,"col009b_T1",0.688547892,0.24021343,0.071238678,NA,NA
"Arginine","R",2,"col009b_T2",0.448278082,0.360207427,0.191514491,NA,NA
"Arginine","R",2,"col009b_T3",0.348447884,0.398171289,0.253380826,NA,NA
"Arginine","R",2,"col009b_T4",0.273994704,0.393602671,0.332402625,NA,NA
"Arginine","R",2,"col009b_T5",0.219670489,0.406396326,0.373933185,NA,NA
"Arginine","R",2,"col009b_T6",0.136395595,0.423350539,0.440253866,NA,NA
"Arginine","R",2,"col009b_T7",0.102381659,0.409731835,0.487886506,NA,NA
"Arginine","R",2,"col009b_T8",0.084861026,0.403503655,0.511635319,NA,NA
"Asparagine","N",2,"col009b_T0",0.99729766,0.002297442,0.000405,NA,NA
"Asparagine","N",2,"col009b_T1",0.931509017,0.062534049,0.005956934,NA,NA
"Asparagine","N",2,"col009b_T2",0.828242173,0.156461224,0.015296603,NA,NA
"Asparagine","N",2,"col009b_T3",0.71555912,0.226961654,0.057479226,NA,NA
"Asparagine","N",2,"col009b_T4",0.570119126,0.347352532,0.082528342,NA,NA
"Asparagine","N",2,"col009b_T5",0.352509471,0.516910604,0.130579925,NA,NA
"Asparagine","N",2,"col009b_T6",0.174252934,0.628532248,0.197214819,NA,NA
"Asparagine","N",2,"col009b_T7",0.110722257,0.689420655,0.199857089,NA,NA
"Asparagine","N",2,"col009b_T8",0.089842221,0.672633347,0.237524432,NA,NA
"Aspartate","D",4,"col009b_T0",0.976868146,0.00495886,0.000814,0.017191016,0.000168
"Aspartate","D",4,"col009b_T1",0.714883958,0.097583951,0.147814675,0.019690918,0.020026497
"Aspartate","D",4,"col009b_T2",0.401956676,0.119982136,0.259886151,0.100890687,0.11728435
"Aspartate","D",4,"col009b_T3",0.201233063,0.107146573,0.286796275,0.180954723,0.223869365
"Aspartate","D",4,"col009b_T4",0.044967435,0.047856538,0.233768349,0.276805294,0.396602384
"Aspartate","D",4,"col009b_T5",0.005978812,0.013247826,0.095869293,0.327044673,0.557859396
"Aspartate","D",4,"col009b_T6",0.003192472,0.026108969,0.055068487,0.345241021,0.570389051
"Aspartate","D",4,"col009b_T7",0.004483104,0.031139384,0.059447402,0.346914315,0.558015796
"Aspartate","D",4,"col009b_T8",0.003894804,0.026497884,0.065327703,0.326628015,0.577651593
"Glutamate","E",4,"col009b_T0",0.993400564,0.006179935,7.53e-05,8.28e-05,0.000261
"Glutamate","E",4,"col009b_T1",0.603151895,0.188538525,0.185362461,0.015157823,0.007789296
"Glutamate","E",4,"col009b_T2",0.303751103,0.234416855,0.34145577,0.059397745,0.060978527
"Glutamate","E",4,"col009b_T3",0.151481058,0.204642721,0.387554973,0.115538876,0.140782372
"Glutamate","E",4,"col009b_T4",0.05406206,0.144204003,0.337717247,0.19227675,0.271739939
"Glutamate","E",4,"col009b_T5",0.033667025,0.066682321,0.192684966,0.269226975,0.437738713
"Glutamate","E",4,"col009b_T6",0.029418993,0.0422038,0.134617552,0.302195137,0.491564518
"Glutamate","E",4,"col009b_T7",0.048020908,0.036949532,0.118255027,0.330825968,0.465948564
"Glutamate","E",4,"col009b_T8",0.044302841,0.036804756,0.124943724,0.345953856,0.447994823
