Protein_ID,Length,Mean_IUPred,Disorder_Fraction,Longest_IDR,Mean_IUPred_N50,Disorder_Fraction_N50,Longest_IDR_N50
tr|M9PB30|M9PB30_DROME,22949,0.227646606388066,0.21857161532092903,2534,0.13138896000000003,0.0,0
sp|Q9I7U4|TITIN_DROME,18141,0.48881592084229963,0.4511879168733807,276,0.8115432800000005,1.0,50
tr|Q8IR22|Q8IR22_DROME,16223,0.6586932080379787,0.8379461258706774,595,0.013889480000000001,0.0,0
tr|M9MRX4|M9MRX4_DROME,13559,0.6882433432406705,0.8066966590456524,4139,0.44850792000000006,0.22,5
sp|M9MRD1|MS300_DROME,12345,0.39986034945321536,0.24916970433373836,340,0.88255714,1.0,50
tr|D1YSG0|D1YSG0_DROME,8933,0.4224512226575625,0.3078473077353633,190,0.34488289999999994,0.04,2
tr|A1Z9J3|A1Z9J3_DROME,8805,0.40393877671777423,0.248381601362862,479,0.7404922399999999,1.0,50
tr|A0A0B4KG35|A0A0B4KG35_DROME,8255,0.42375575227135576,0.4109024833434282,1543,0.652891,0.64,31
sp|Q8SX83|SPEN_DROME,5560,0.7020615019784171,0.8492805755395684,804,0.6248935800000003,0.82,36
tr|A8DYB0|A8DYB0_DROME,5526,0.2644071105682244,0.1391603329714079,635,0.18382147999999993,0.0,0
tr|B7Z002|B7Z002_DROME,5517,0.6423302338227271,0.707268442994381,773,0.6300125799999999,0.66,19
sp|Q9W596|FUTSC_DROME,5495,0.7078403972702481,0.8498635122838945,1437,0.8996535400000001,1.0,50
sp|Q9VLT5|POE_DROME,5322,0.2266986854565958,0.10804208944006012,109,0.11311562,0.0,0
sp|Q9NB71|HIW_DROME,5233,0.3339868448308806,0.24288171221096885,77,0.37729412,0.28,14
tr|M9PDW8|M9PDW8_DROME,5182,0.754985213238133,0.9123890389810884,1245,0.49025146000000014,0.44,13
tr|X2JF73|X2JF73_DROME,5151,0.4061082877111229,0.3614832071442438,299,0.13634304,0.0,0
tr|X2JA38|X2JA38_DROME,5150,0.3705505912621357,0.3079611650485437,112,0.15931862,0.0,0
sp|P33450|FAT_DROME,5147,0.3767760137944433,0.21391101612589858,88,0.27733904,0.1,4
sp|Q24498|RYR_DROME,5127,0.25288046928028174,0.1330212599960991,150,0.31253745999999993,0.18,5
tr|Q9VAV5|Q9VAV5_DROME,5080,0.17439807814960825,0.061614173228346454,113,0.3720148600000001,0.36,18
tr|A0A0B4KG50|A0A0B4KG50_DROME,4976,0.2677359196141478,0.1372588424437299,50,0.29574216,0.1,4
sp|Q9VR91|HERC2_DROME,4912,0.29313626567589546,0.1502442996742671,57,0.5555013199999999,0.72,30
tr|Q0KI05|Q0KI05_DROME,4842,0.1694903339529138,0.0375877736472532,55,0.5385542999999999,0.58,29
tr|A8JTM7|A8JTM7_DROME,4769,0.17477024575382707,0.062486894527154536,105,0.8230120800000003,1.0,50
tr|A0A0B4KFD1|A0A0B4KFD1_DROME,4752,0.13587359743266025,0.02377946127946128,30,0.31152116,0.3,9
tr|A0A0B4LH20|A0A0B4LH20_DROME,4724,0.19030435436071322,0.04868755292125317,42,0.6063383800000001,0.74,37
sp|Q86BA1|MICAL_DROME,4723,0.5736621424941761,0.6788058437433835,274,0.7823350600000001,0.86,40
sp|Q9VW71|FAT2_DROME,4699,0.22320735901255834,0.03639072143009151,30,0.09951327999999998,0.0,0
sp|P37276|DYHC_DROME,4639,0.199881866134945,0.03492131924983833,22,0.37226438,0.3,12
tr|M9NDS9|M9NDS9_DROME,4611,0.7086477781392314,0.8488397310778573,1483,0.05112990000000002,0.0,0
tr|A8Y5B7|A8Y5B7_DROME,4593,0.13137380731548018,0.0152405834966253,19,0.4947589200000001,0.42,19
tr|Q5LJN5|Q5LJN5_DROME,4559,0.13845711998245272,0.015354244351831543,15,0.22023994,0.14,7
tr|X2JAM4|X2JAM4_DROME,4526,0.6223416701281481,0.7507733097657976,376,0.7020946800000002,0.82,39
tr|A0A0B4KHJ4|A0A0B4KHJ4_DROME,4496,0.16216512433274094,0.012677935943060499,8,0.27417166,0.16,6
tr|Q9W4Y3|Q9W4Y3_DROME,4479,0.3021549988836799,0.16141995981245813,53,0.30051572000000004,0.2,5
tr|Q5LJP0|Q5LJP0_DROME,4459,0.11278526216640489,0.006503700381251401,10,0.09941144000000005,0.06,2
tr|Q9VZ77|Q9VZ77_DROME,4385,0.16317876442417378,0.028506271379703536,29,0.4952402000000001,0.56,13
tr|A8JNJ6|A8JNJ6_DROME,4337,0.3994692045192528,0.22942125893474752,330,0.4322581,0.36,18
tr|Q7KTG2|Q7KTG2_DROME,4333,0.19907010270020928,0.02607892914839603,21,0.23377724,0.06,2
tr|A8JQT5|A8JQT5_DROME,4273,0.6009150800374444,0.7179967236133864,295,0.6474156600000001,1.0,50
tr|Q0E8P6|Q0E8P6_DROME,4236,0.19971695774315532,0.02384324834749764,17,0.24031905999999995,0.0,0
sp|A8DYP0|OBSCN_DROME,4218,0.3297173608345192,0.16263632053105737,167,0.22169689999999995,0.0,0
tr|Q9VWZ3|Q9VWZ3_DROME,4081,0.1615216219063967,0.04484195050232786,89,0.8309810799999999,1.0,50
tr|A0A6H2EJG3|A0A6H2EJG3_DROME,4065,0.14185065608856062,0.014268142681426814,9,0.44300087999999993,0.28,9
tr|A1Z9M5|A1Z9M5_DROME,4012,0.7304556021934175,0.9304586241276172,1159,0.7713872399999997,1.0,50
sp|Q9VCA8|ANKHM_DROME,4001,0.619931838540363,0.6810797300674831,227,0.8953583799999997,1.0,50
tr|Q7KVA7|Q7KVA7_DROME,3964,0.1459780890514632,0.016145307769929364,8,0.4035460800000001,0.26,4
sp|Q9VU08|VP13D_DROME,3919,0.1972137435570308,0.051543761163562136,21,0.06427386,0.0,0
sp|Q9VC56|PUF_DROME,3912,0.3318028412576695,0.2632924335378323,148,0.07383639999999998,0.0,0
tr|Q9VU94|Q9VU94_DROME,3843,0.15174979833463464,0.026021337496747333,17,0.26346938,0.22,10
sp|Q8I8U7|TRA1_DROME,3790,0.12016748839050127,0.00712401055408971,12,0.22837907999999998,0.0,0
tr|Q9VIS5|Q9VIS5_DROME,3781,0.33392073631314473,0.19465749801639778,109,0.9211026399999995,1.0,50
sp|Q9W332|CUBN_DROME,3750,0.2239988485333351,0.020266666666666665,10,0.1254905,0.0,0
tr|A0A0B4K657|A0A0B4K657_DROME,3734,0.636932417514733,0.7343331547937868,435,0.46503634000000005,0.4,20
tr|Q9VAD3|Q9VAD3_DROME,3731,0.19788728196194202,0.050924685071026536,37,0.10202417999999999,0.0,0
sp|P20659|TRX_DROME,3726,0.47569034675255045,0.46537842190016104,208,0.9107555799999997,1.0,50
sp|Q00174|LAMA_DROME,3712,0.22480137715517345,0.11126077586206896,88,0.13356621999999999,0.0,0
tr|M9PBJ1|M9PBJ1_DROME,3664,0.4666440952510917,0.43777292576419213,229,0.7699760600000001,1.0,50
tr|Q9VTP0|Q9VTP0_DROME,3613,0.1870712579573773,0.010240797121505675,8,0.20441406,0.08,4
tr|M9PGZ8|M9PGZ8_DROME,3607,0.7560230562794599,0.863321319656224,735,0.9713589199999998,1.0,50
sp|Q9VDW6|DMDA_DROME,3598,0.4310814010561428,0.3157309616453585,294,0.18518760000000004,0.0,0
tr|E1JHA6|E1JHA6_DROME,3589,0.17749489439955474,0.030927835051546393,19,0.057322619999999984,0.0,0
tr|Q9V3N4|Q9V3N4_DROME,3583,0.2633232874686031,0.19704158526374546,131,0.1329767,0.0,0
sp|Q9V5N8|STAN_DROME,3579,0.3324804903604365,0.25258452081587035,239,0.08876181999999998,0.0,0
tr|Q9VZ30|Q9VZ30_DROME,3539,0.6809001709522469,0.7592540265611755,343,0.7411368199999998,0.92,43
sp|Q9W060|LYST_DROME,3535,0.21349425657708798,0.08967468175388968,30,0.12411134000000007,0.04,2
tr|Q9W0S2|Q9W0S2_DROME,3519,0.5846231310031247,0.6720659278204035,427,0.5435948399999999,0.52,24
sp|Q24292|DS_DROME,3503,0.3729320645161306,0.1952612046817014,87,0.15686574,0.02,1
tr|Q9VML2|Q9VML2_DROME,3489,0.22337618859272126,0.12181140728002293,125,0.6870333599999999,0.9,43
sp|Q9VT28|FRY_DROME,3479,0.29380665018683694,0.22190284564530038,96,0.7750073799999998,0.92,41
sp|Q9W4E2|NBEA_DROME,3466,0.350314641084824,0.3130409694171956,177,0.15086404000000006,0.0,0
tr|B7Z0I8|B7Z0I8_DROME,3441,0.7277483647195585,0.8825922696890439,1256,0.23182867999999995,0.0,0
tr|Q9W425|Q9W425_DROME,3426,0.35158853561004016,0.24985405720957385,94,0.04599659999999999,0.0,0
sp|P18490|PCX_DROME,3413,0.4328646114854966,0.4564898915909757,159,0.015806539999999994,0.0,0
tr|Q8IP51|Q8IP51_DROME,3375,0.22703058281481645,0.08088888888888889,49,0.2992532200000001,0.28,8
sp|Q9V496|APLP_DROME,3351,0.1984336678603415,0.015816174276335422,7,0.0670556,0.0,0
tr|Q8IR52|Q8IR52_DROME,3321,0.8714207895212274,0.9930743751881963,3289,0.4173643799999999,0.54,18
sp|A1Z713|VPS13_DROME,3321,0.2154344333032233,0.043661547726588375,21,0.050044720000000015,0.0,0
tr|Q9W3W6|Q9W3W6_DROME,3313,0.5306260283730724,0.5674615152429822,340,0.23919154000000004,0.0,0
sp|Q9VB11|UNC80_DROME,3303,0.36824949984862426,0.3457462912503784,284,0.66328238,0.86,42
tr|M9MS40|M9MS40_DROME,3282,0.6269302120658103,0.7163315051797684,577,0.7850638,1.0,50
tr|M9PEI6|M9PEI6_DROME,3261,0.7245721971787792,0.8426862925482981,540,0.06571373999999999,0.0,0
tr|A1Z9S6|A1Z9S6_DROME,3257,0.6925926591955774,0.8642922935216457,531,0.53150434,0.5,23
sp|Q7YZH1|RNO_DROME,3241,0.6672717374267184,0.8053070040111077,1087,0.9776499999999997,1.0,50
tr|M9PGH9|M9PGH9_DROME,3218,0.42781724860161696,0.4788688626476072,272,0.7582610000000001,1.0,50
