Protein_ID,Length,Mean_IUPred,Disorder_Fraction,Longest_IDR,Mean_IUPred_N50,Disorder_Fraction_N50,Longest_IDR_N50
XBmRNA23782|XBXL10_1g12678,212,0.17241183962264145,0.0330188679245283,3,0.36584942000000004,0.12,3
XBmRNA2736|XBXL10_1g1549,144,0.33574822916666675,0.1875,10,0.30362796000000003,0.12,4
XBmRNA49196|XBXL10_1g26318,349,0.1249335186246418,0.025787965616045846,5,0.00886172,0.0,0
XBmRNA74718|XBXL10_1g39718,537,0.19983008193668533,0.0,0,0.24617003999999995,0.0,0
XBmRNA69905|XBXL10_1g37059,2549,0.5028022412710843,0.5202040015692428,254,0.6863070399999998,0.98,26
XBmRNA74475|XBXL10_1g39511,206,0.378037480582524,0.0970873786407767,10,0.35689928000000004,0.1,5
XBmRNA41362|XBXL10_1g22249,300,0.4197582499999995,0.36666666666666664,63,0.12831178,0.02,1
XBmRNA59251|XBXL10_1g31327,341,0.012488894428152493,0.0,0,0.00927262,0.0,0
XBmRNA53769|XBXL10_1g28624,422,0.1655711682464455,0.026066350710900472,6,0.15947141999999995,0.0,0
XBmRNA69287|XBXL10_1g36741,217,0.20155735944700467,0.018433179723502304,2,0.11547602,0.0,0
XBmRNA46506|XBXL10_1g24929,274,0.25138421532846716,0.08029197080291971,7,0.3512712000000001,0.08,3
XBmRNA78990|XBXL10_1g41999,536,0.34671181156716413,0.22388059701492538,45,0.25950202,0.14,5
XBmRNA64276|XBXL10_1g34074,69,0.8672760000000002,1.0,69,0.85239732,1.0,50
XBmRNA44132|XBXL10_1g23644,207,0.18952414009661833,0.033816425120772944,3,0.15072075999999998,0.0,0
XBmRNA19743|XBXL10_1g10553,466,0.242135708154506,0.0,0,0.28982728,0.0,0
XBmRNA75306|XBXL10_1g40034,412,0.43701702912621365,0.38349514563106796,68,0.66635686,0.86,26
XBmRNA19745|XBXL10_1g10555,477,0.10636716142557666,0.0,0,0.17067672,0.0,0
XBmRNA19742|XBXL10_1g10552,503,0.2319238548707751,0.039761431411530816,12,0.17399234,0.0,0
XBmRNA70637|XBXL10_1g37427,575,0.3762169478260871,0.288695652173913,44,0.24925105999999997,0.24,12
XBmRNA30553|XBXL10_1g16266,447,0.20342838478747244,0.06487695749440715,10,0.29809455999999995,0.18,7
XBmRNA12202|XBXL10_1g6510,553,0.1727783345388792,0.0162748643761302,5,0.13171252000000003,0.0,0
XBmRNA18698|XBXL10_1g10016,385,0.07983201298701298,0.04415584415584416,17,0.03856322,0.0,0
XBmRNA401|XBXL10_1g392,303,0.01838698349834984,0.0,0,0.051470080000000015,0.0,0
XBmRNA16639|XBXL10_1g8942,330,0.007655648484848483,0.0,0,0.007236939999999996,0.0,0
XBmRNA50023|XBXL10_1g26763,275,0.17699536,0.10545454545454545,28,0.34108414000000004,0.28,13
XBmRNA78316|XBXL10_1g41506,278,0.16490511151079135,0.14388489208633093,40,0.0030104199999999998,0.0,0
XBmRNA26749|XBXL10_1g14184,560,0.23224688928571421,0.19107142857142856,75,0.03309536,0.0,0
XBmRNA22393|XBXL10_1g12005,131,0.34899254961832105,0.183206106870229,14,0.3483190800000001,0.1,5
XBmRNA297|XBXL10_1g289,241,0.011517589211618265,0.0,0,0.01466378,0.0,0
XBmRNA52057|XBXL10_1g27730,1066,0.5032244765478423,0.5121951219512195,99,0.6665493399999999,0.92,46
XBmRNA60353|XBXL10_1g31992,256,0.14368883593749987,0.0078125,1,0.22515867999999997,0.0,0
XBmRNA12241|XBXL10_1g6534,256,0.21592399609375015,0.0859375,19,0.08283438,0.0,0
XBmRNA39402|XBXL10_1g21295,440,0.4096624022727271,0.3090909090909091,39,0.25775289999999995,0.0,0
XBmRNA61678|XBXL10_1g32664,129,0.23786851162790698,0.015503875968992248,2,0.18729135999999996,0.0,0
XBmRNA38470|XBXL10_1g20878,391,0.3510512941176467,0.27365728900255754,38,0.16433092,0.08,3
XBmRNA78714|XBXL10_1g41796,1011,0.23593297131552948,0.02274975272007913,5,0.19123347999999996,0.0,0
XBmRNA72657|XBXL10_1g38464,218,0.45525098165137623,0.3165137614678899,21,0.49667738000000017,0.46,16
XBmRNA4522|XBXL10_1g2586,319,0.013967887147335418,0.0,0,0.004679020000000001,0.0,0
XBmRNA11077|XBXL10_1g5910,611,0.4368834517184946,0.3993453355155483,57,0.4362089200000003,0.48,17
XBmRNA57437|XBXL10_1g30487,494,0.22216402024291484,0.030364372469635626,8,0.10538392,0.0,0
XBmRNA6624|XBXL10_1g3627,209,0.1832977799043062,0.023923444976076555,5,0.11352230000000002,0.0,0
