Protein_ID	MD5_Digest	Length	Analysis	Signature_Accession	Signature_Description	Start	Stop	Score	Status	Date	InterPro_Accession	InterPro_Description	GO_Annotations	Pathway_Annotations
XBmRNA12669|XBXL10_1g6759	9d2797eaf4531fd98642829390b246fa	294	Pfam	PF00106	short chain dehydrogenase	34	224	1.70E-36	T	7/5/2026	IPR002347	Short-chain dehydrogenase/reductase SDR	-	-
XBmRNA78227|XBXL10_1g41452	e7f956dc6bdebc123fe753e54f0e90b7	617	Pfam	PF08356	EF hand associated	220	305	4.30E-32	T	7/5/2026	IPR013567	"EF hand associated, type-2"	-	-
XBmRNA78227|XBXL10_1g41452	e7f956dc6bdebc123fe753e54f0e90b7	617	Pfam	PF08355	EF hand associated	341	414	1.10E-19	T	7/5/2026	IPR013566	"Mitochondrial Rho GTPase 1/3, EF hand associated, type-1"	-	-
XBmRNA78227|XBXL10_1g41452	e7f956dc6bdebc123fe753e54f0e90b7	617	Pfam	PF00071	Ras family	6	166	6.30E-16	T	7/5/2026	IPR001806	Small GTPase	-	-
XBmRNA78227|XBXL10_1g41452	e7f956dc6bdebc123fe753e54f0e90b7	617	Pfam	PF00071	Ras family	424	538	0.1	T	7/5/2026	IPR001806	Small GTPase	-	-
XBmRNA983|XBXL10_1g731	feee2fe840b81e622829577cb82fdbe6	539	Pfam	PF03736	EPTP domain	354	396	2.40E-04	T	7/5/2026	IPR005492	"Leucine-rich glioma-inactivated , EPTP repeat"	-	-
XBmRNA983|XBXL10_1g731	feee2fe840b81e622829577cb82fdbe6	539	Pfam	PF03736	EPTP domain	305	351	8.90E-06	T	7/5/2026	IPR005492	"Leucine-rich glioma-inactivated , EPTP repeat"	-	-
XBmRNA983|XBXL10_1g731	feee2fe840b81e622829577cb82fdbe6	539	Pfam	PF03736	EPTP domain	213	254	5.80E-06	T	7/5/2026	IPR005492	"Leucine-rich glioma-inactivated , EPTP repeat"	-	-
XBmRNA983|XBXL10_1g731	feee2fe840b81e622829577cb82fdbe6	539	Pfam	PF03736	EPTP domain	446	487	4.60E-09	T	7/5/2026	IPR005492	"Leucine-rich glioma-inactivated , EPTP repeat"	-	-
XBmRNA983|XBXL10_1g731	feee2fe840b81e622829577cb82fdbe6	539	Pfam	PF03736	EPTP domain	493	532	0.055	T	7/5/2026	IPR005492	"Leucine-rich glioma-inactivated , EPTP repeat"	-	-
XBmRNA983|XBXL10_1g731	feee2fe840b81e622829577cb82fdbe6	539	Pfam	PF03736	EPTP domain	401	443	1.60E-05	T	7/5/2026	IPR005492	"Leucine-rich glioma-inactivated , EPTP repeat"	-	-
XBmRNA983|XBXL10_1g731	feee2fe840b81e622829577cb82fdbe6	539	Pfam	PF03736	EPTP domain	260	300	4.60E-07	T	7/5/2026	IPR005492	"Leucine-rich glioma-inactivated , EPTP repeat"	-	-
XBmRNA983|XBXL10_1g731	feee2fe840b81e622829577cb82fdbe6	539	Pfam	PF13855	Leucine rich repeat	104	162	8.30E-10	T	7/5/2026	IPR001611	Leucine-rich repeat	-	-
XBmRNA25916|XBXL10_1g13636	687a6b1ce2cdaeb9a3ba31f712656dc9	328	Pfam	PF13853	Olfactory receptor	36	307	3.20E-39	T	7/5/2026	IPR000725	Olfactory receptor	-	-
XBmRNA35020|XBXL10_1g18995	5bb779d3d623b01677e815ff3a57df78	345	Pfam	PF04427	Brix domain	152	313	1.10E-23	T	7/5/2026	IPR007109	Brix domain	-	-
XBmRNA17108|XBXL10_1g9186	1d03b2ff7a01a754ed48f9d0193ca15a	224	Pfam	PF00088	Trefoil (P-type) domain	75	116	1.30E-10	T	7/5/2026	IPR000519	P-type trefoil domain	-	-
XBmRNA17108|XBXL10_1g9186	1d03b2ff7a01a754ed48f9d0193ca15a	224	Pfam	PF00088	Trefoil (P-type) domain	175	215	1.20E-10	T	7/5/2026	IPR000519	P-type trefoil domain	-	-
XBmRNA17108|XBXL10_1g9186	1d03b2ff7a01a754ed48f9d0193ca15a	224	Pfam	PF00088	Trefoil (P-type) domain	125	166	1.50E-12	T	7/5/2026	IPR000519	P-type trefoil domain	-	-
XBmRNA17108|XBXL10_1g9186	1d03b2ff7a01a754ed48f9d0193ca15a	224	Pfam	PF00088	Trefoil (P-type) domain	27	67	5.20E-09	T	7/5/2026	IPR000519	P-type trefoil domain	-	-
XBmRNA17369|XBXL10_1g9297	9bdf253ec90097bc35694c42595be156	523	Pfam	PF06638	Strabismus protein	33	521	1.60E-167	T	7/5/2026	IPR009539	Vang-like protein	-	-
XBmRNA27800|XBXL10_1g14939	9b22ce4a03c6b504b9f713031d950199	117	Pfam	PF15171	"Neuropeptide secretory protein family, NPQ, spexin"	28	117	3.40E-38	T	7/5/2026	IPR028126	Spexin	-	-
