Uniprot_ID,Flybase_ID,Gene_Symbol,Name,XSome_Loc,Xsome_Coord,FBtr_ID,FBpp_ID,Source,Description
M9PB30,FBgn0053196,dpy,dumpy,2L,4477462..4614300(-1),"FBtr0332348, FBtr0305142, FBtr0305145, FBtr0332353, FBtr0332343, FBtr0332344, FBtr0332351, FBtr0332349, FBtr0332352, FBtr0332346, FBtr0332354, FBtr0332350, FBtr0332347, FBtr0332355, FBtr0305141, FBtr0332345","FBpp0304624, FBpp0304627, FBpp0293675, FBpp0304622, FBpp0304632, FBpp0304626, FBpp0304623, FBpp0293671, FBpp0304630, FBpp0304631, FBpp0304625, FBpp0304621, FBpp0304629, FBpp0304628, FBpp0293672, FBpp0304620",FlyBase Gene Snapshot,"dumpy (dpy) encodes an extracellular protein involved in epidermal-cuticle attachment, aposition of wing surfaces and trachea development."
Q9I7U4,FBgn0086906,sls,sallimus,3L,2039681..2115611(-1),"FBtr0332678, FBtr0332681, FBtr0332674, FBtr0332675, FBtr0332677, FBtr0072848, FBtr0332684, FBtr0332676, FBtr0309042, FBtr0332682, FBtr0332683, FBtr0332680, FBtr0332679","FBpp0301063, FBpp0304924, FBpp0304929, FBpp0304926, FBpp0304923, FBpp0304922, FBpp0304920, FBpp0304925, FBpp0304921, FBpp0304928, FBpp0304930, FBpp0304927, FBpp0072727",FlyBase Gene Snapshot,sallimus (sls) encodes a large modular protein present in muscles. It links myosin filaments to the Z-disc.
Q8IR22,FBgn0052580,Muc14A,Mucin 14A,X,16009114..16061722(1),FBtr0074205,FBpp0073985,Alliance,Predicted to be an extracellular matrix structural constituent. Predicted to be located in extracellular matrix. Is expressed in embryonic/larval salivary gland and spermatozoon.
M9MRX4,FBgn0261788,Ank2,Ankyrin 2,3L,7655389..7718395(-1),"FBtr0344224, FBtr0303114, FBtr0344222, FBtr0344223, FBtr0303120, FBtr0303122, FBtr0334062, FBtr0303123, FBtr0303125, FBtr0303121, FBtr0303113, FBtr0303118, FBtr0303119, FBtr0303111, FBtr0303112, FBtr0303124, FBtr0481648, FBtr0303115, FBtr0334060, FBtr0334061, FBtr0303117, FBtr0481649","FBpp0292232, FBpp0292236, FBpp0292241, FBpp0292239, FBpp0310629, FBpp0306186, FBpp0292231, FBpp0428431, FBpp0292230, FBpp0292234, FBpp0310628, FBpp0292242, FBpp0292233, FBpp0292240, FBpp0306187, FBpp0292243, FBpp0292238, FBpp0292237, FBpp0428430, FBpp0292244, FBpp0310630, FBpp0306185",FlyBase Gene Snapshot,"Ankyrin 2 (Ank2) encodes a cytoskeletal binding protein required for proper function of the product of beta-Spec via direct interaction. It contributes to the regulation of short-term memory, sound perception, microtubule cytoskeleton and neuromuscular junction development and synapsis."
M9MRD1,FBgn0261836,Msp300,Muscle-specific protein 300 kDa,2L,5100877..5207002(1),"FBtr0332404, FBtr0332406, FBtr0303383, FBtr0303388, FBtr0303386, FBtr0303384, FBtr0303389, FBtr0332405, FBtr0303385, FBtr0332403, FBtr0303387","FBpp0304678, FBpp0292451, FBpp0292446, FBpp0304676, FBpp0304677, FBpp0304679, FBpp0292450, FBpp0292447, FBpp0292448, FBpp0292449, FBpp0292445",FlyBase Gene Snapshot,"Muscle-specific protein 300 kDa (Msp300) encodes a Nesprin-like protein that is required for proper positioning of muscle nuclei, mitochondria, and neuromuscular junction."
D1YSG0,FBgn0005666,bt,bent,4,724400..776474(1),"FBtr0334483, FBtr0334482, FBtr0089793, FBtr0344988, FBtr0301340","FBpp0290554, FBpp0311242, FBpp0088734, FBpp0306552, FBpp0306553",FlyBase Gene Snapshot,"bent (bt) encodes the protein Projectin, a large protein associated with myosin thick filaments in insect muscles that contributes to the stiffness of flight muscle."
A1Z9J3,FBgn0013733,shot,short stop,2R,13864237..13942110(-1),"FBtr0304852, FBtr0304847, FBtr0273222, FBtr0301593, FBtr0087617, FBtr0273223, FBtr0273225, FBtr0087616, FBtr0304849, FBtr0087619, FBtr0087621, FBtr0304853, FBtr0304850, FBtr0304851, FBtr0301592, FBtr0304848, FBtr0301591, FBtr0087618, FBtr0087620, FBtr0301964, FBtr0273226, FBtr0273224","FBpp0086742, FBpp0290808, FBpp0293391, FBpp0293388, FBpp0290806, FBpp0293393, FBpp0086746, FBpp0271733, FBpp0271732, FBpp0293392, FBpp0271734, FBpp0290807, FBpp0086745, FBpp0271731, FBpp0086743, FBpp0293390, FBpp0086747, FBpp0293389, FBpp0291176, FBpp0086744, FBpp0271730, FBpp0293387",FlyBase Gene Snapshot,"short stop (shot) encodes a member of the spectraplakin family of large cytoskeletal linker molecules. It binds both actin and microtubules, as well as scaffold proteins, certain signalling factors and calcium. It plays developmental and maintenance roles in the nervous system, the epidermis, at muscle attachments, the foregut, the wing, tracheae and oocytes."
A0A0B4KG35,FBgn0265045,Strn-Mlck,Stretchin-Mlck,2R,15946933..15989498(-1),"FBtr0336650, FBtr0336646, FBtr0336652, FBtr0336648, FBtr0336643, FBtr0336649, FBtr0336644, FBtr0336651, FBtr0336647, FBtr0336645","FBpp0307628, FBpp0307635, FBpp0307634, FBpp0307631, FBpp0307632, FBpp0307636, FBpp0307629, FBpp0307633, FBpp0307627, FBpp0307630",FlyBase Gene Snapshot,"Stretchin-Mlck (Strn-Mlck) encodes a complex locus producing many large protein isoforms, which likely regulate cytoskeletal dynamics in muscles. A shorter isoform is specifically expressed in indirect flight muscle, localizes to the thick filament and is required to prevent flight muscle hypercontraction. Strn-Mlck mutants cannot fly and show flight muscle atrophy."
Q8SX83,FBgn0016977,spen,split ends,2L,159032..203397(1),"FBtr0332336, FBtr0330653, FBtr0332337, FBtr0078123, FBtr0078121, FBtr0330652, FBtr0306341, FBtr0078122","FBpp0303503, FBpp0304614, FBpp0077780, FBpp0303502, FBpp0304613, FBpp0077782, FBpp0297434, FBpp0077781",UniProtKB,"Probable corepressor protein, which regulates different key pathways such as the EGF receptor and Wg pathways. Involved in neuronal cell fate, survival and axon guidance, cell cycle regulation and repression of head identity in the embryonic trunk. May act with the Hox gene Deformed and the EGF receptor signaling pathway. Positive regulator of the Wg pathway in larval tissues but not in embryonic tissues. May act as a transcriptional corepressor protein, which repress transcription via the recruitment of large complexes containing histone deacetylase proteins. (UniProtKB:Q8SX83)"
A8DYB0,FBgn0033661,CG13185,N/A,2R,11867876..11885585(-1),FBtr0310323,FBpp0302006,Alliance,"Predicted to enable ATP binding activity and ATP hydrolysis activity. Predicted to be involved in rRNA processing; regulation of ribosomal subunit export from nucleus; and ribosomal large subunit assembly. Predicted to be part of preribosome, large subunit precursor. Predicted to be active in nucleus. Is expressed in several structures, including adult fat body; embryonic/larval muscle system; extended germ band embryo; foregut primordium; and gastrula embryo. Orthologous to human MDN1 (midasin AAA ATPase 1)."
