Protein_ID,MD5_Digest,Length,Analysis,Signature_Accession,Signature_Description,Start,Stop,Score,Status,Date,InterPro_Accession,InterPro_Description,GO_Annotations,Pathway_Annotations
Q9W0X1,3b9e3794f14f265f7da9341a344081f9,507,Pfam,PF01130,CD36 family,11,465,1.00E-90,T,12/5/2026,IPR002159,CD36 family,-,-
Q6ILY6,ce75c6d8fd21bdcaf2678310b458ab0c,82,Pfam,PF12554,Mitotic-spindle organizing gamma-tubulin ring associated,13,57,7.40E-13,T,12/5/2026,IPR022214,Mitotic-spindle organizing protein 1,-,-
Q9VGB4,66a084c09d6e6423521a565e23f3b8bb,493,Pfam,PF00067,Cytochrome P450,34,463,5.30E-72,T,12/5/2026,IPR001128,Cytochrome P450,-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF24123,Myosin VII N-terminal beta barrel domain,6,57,8.00E-21,T,12/5/2026,IPR057130,"Myosin VII, N-terminal domain",-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF00063,Myosin head (motor domain),65,721,4.90E-238,T,12/5/2026,IPR001609,"Myosin head, motor domain-like",-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF00784,MyTH4 domain,1147,1243,4.60E-30,T,12/5/2026,IPR000857,MyTH4 domain,-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF00784,MyTH4 domain,1751,1847,4.10E-25,T,12/5/2026,IPR000857,MyTH4 domain,-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF00612,IQ calmodulin-binding motif,809,825,19,T,12/5/2026,IPR000048,"IQ motif, EF-hand binding site",-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF00612,IQ calmodulin-binding motif,830,849,37,T,12/5/2026,IPR000048,"IQ motif, EF-hand binding site",-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF00612,IQ calmodulin-binding motif,737,756,300,T,12/5/2026,IPR000048,"IQ motif, EF-hand binding site",-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF00612,IQ calmodulin-binding motif,760,780,20,T,12/5/2026,IPR000048,"IQ motif, EF-hand binding site",-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF21998,Myosin-X FERM PH domain-like,1463,1559,1.60E-39,T,12/5/2026,IPR041793,"Myosin VII, FERM domain C-lobe, repeat 1",-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF02174,PTB domain (IRS-1 type),2068,2154,1.40E-17,T,12/5/2026,IPR002404,IRS-type PTB domain,-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF21989,RA like domain,1248,1342,2.30E-31,T,12/5/2026,-,-,-,-
Q9V3Z6,283ef1438cfaf1550bdb1c47a74d33fb,2167,Pfam,PF21989,RA like domain,1854,1913,1.00E-05,T,12/5/2026,-,-,-,-
A0A0B4K6Y7,d7bf0b3f7fb74c6de3e7b48760f6ad7d,2395,Pfam,PF00625,Guanylate kinase,905,1003,2.90E-06,T,12/5/2026,IPR008145,Guanylate kinase/L-type calcium channel beta subunit,-,-
A0A0B4K6Y7,d7bf0b3f7fb74c6de3e7b48760f6ad7d,2395,Pfam,PF00595,PDZ domain,639,710,4.90E-11,T,12/5/2026,IPR001478,PDZ domain,-,-
A0A0B4K6Y7,d7bf0b3f7fb74c6de3e7b48760f6ad7d,2395,Pfam,PF00595,PDZ domain,252,333,3.50E-15,T,12/5/2026,IPR001478,PDZ domain,-,-
A0A0B4K6Y7,d7bf0b3f7fb74c6de3e7b48760f6ad7d,2395,Pfam,PF00791,ZU5 domain,2265,2361,3.60E-20,T,12/5/2026,IPR000906,ZU5 domain,-,-
A0A0B4K6Y7,d7bf0b3f7fb74c6de3e7b48760f6ad7d,2395,Pfam,PF07653,Variant SH3 domain,729,790,3.40E-05,T,12/5/2026,IPR001452,SH3 domain,-,-
P09180,c846b6c4b4ed56d364b2ad352ff789f5,401,Pfam,PF00573,Ribosomal protein L4/L1 family,27,264,2.00E-32,T,12/5/2026,IPR002136,Large ribosomal subunit protein uL4,-,-
P09180,c846b6c4b4ed56d364b2ad352ff789f5,401,Pfam,PF14374,60S ribosomal protein L4 C-terminal domain,278,350,1.20E-22,T,12/5/2026,IPR025755,"Large ribosomal subunit protein uL4, C-terminal domain",-,-
P15278,44de1f43249ea0c3390004eaa7e1228a,508,Pfam,PF08205,CD80-like C2-set immunoglobulin domain,141,221,1.50E-14,T,12/5/2026,IPR013162,"CD80-like, immunoglobulin C2-set",-,-
A1Z9L5,daf44c81e573eb04dc32981f1726ac35,443,Pfam,PF10271,Putative transmembrane protein,29,423,2.00E-149,T,12/5/2026,IPR019397,Uncharacterised protein family TMEM39,-,-
Q9V3J5,91d2c6a3afd33df512647cf3ced97276,558,Pfam,PF07690,Major Facilitator Superfamily,59,360,2.00E-19,T,12/5/2026,IPR011701,Major facilitator superfamily,-,-
Q9VKT8,b5818822a159b03afdb1c1c3163cdb55,422,Pfam,PF00561,alpha/beta hydrolase fold,82,371,1.60E-19,T,12/5/2026,IPR000073,Alpha/beta hydrolase fold-1,-,-
Q8IP62,54cc53851b6be548fbc32b1fe82e8f38,189,Pfam,PF10484,Mitochondrial ribosomal protein S23,2,125,1.80E-44,T,12/5/2026,IPR023611,"Small ribosomal subunit protein mS23, conserved domain, metazoa",-,-
Q9GYV5,fdffee6ed3f3da10c0633eaa450c02d6,387,Pfam,PF16516,"Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator",242,312,4.70E-13,T,12/5/2026,IPR032419,"NF-kappa-B essential modulator NEMO, CC2-LZ domain",-,-
A1Z8R8,0e27af4881da2ee6b0fdf0ddc238adf9,351,Pfam,PF01694,Rhomboid domain,185,327,9.60E-20,T,12/5/2026,IPR022764,"Peptidase S54, rhomboid domain",-,-
A0A0B4KEQ7,f3c824a4c4c170f9a21bd206ae02bd32,530,Pfam,PF13873,Myb/SANT-like DNA-binding domain,25,67,0.022,T,12/5/2026,IPR028002,Myb/SANT-like DNA-binding domain 5,-,-
