Protein1,Protein2
tr|Q9VGH2|Q9VGH2_DROME,XBmRNA6922|XBXL10_1g3790
tr|Q9VM37|Q9VM37_DROME,XBmRNA66311|XBXL10_1g35104
tr|Q8IRH1|Q8IRH1_DROME,XBmRNA79444|XBXL10_1g42264
tr|Q9VRK9|Q9VRK9_DROME,XBmRNA22949|XBXL10_1g12277
tr|Q9V4A1|Q9V4A1_DROME,XBmRNA60908|XBXL10_1g32320
sp|Q23978|MY31D_DROME,XBmRNA73866|XBXL10_1g39182
sp|Q23979|MY61F_DROME,XBmRNA17615|XBXL10_1g9445
tr|Q9VBN9|Q9VBN9_DROME,XBmRNA31476|XBXL10_1g16892
tr|Q9VZX6|Q9VZX6_DROME,XBmRNA22154|XBXL10_1g11861
tr|A1ZBM2|A1ZBM2_DROME,XBmRNA22586|XBXL10_1g12109
sp|O46102|PAPD1_DROME,XBmRNA50219|XBXL10_1g26845
tr|Q9W2T3|Q9W2T3_DROME,XBmRNA553|XBXL10_1g483
tr|Q9VD14|Q9VD14_DROME,XBmRNA49886|XBXL10_1g26687
tr|A1ZBA5|A1ZBA5_DROME,XBmRNA52758|XBXL10_1g28095
tr|Q9VJ55|Q9VJ55_DROME,XBmRNA44918|XBXL10_1g24003
tr|Q9VCV0|Q9VCV0_DROME,XBmRNA11814|XBXL10_1g6296
tr|A0A6H2EJG3|A0A6H2EJG3_DROME,XBmRNA77130|XBXL10_1g40882
tr|Q9VZ77|Q9VZ77_DROME,XBmRNA82648|XBXL10_1g43925
tr|Q7KVA7|Q7KVA7_DROME,XBmRNA37348|XBXL10_1g20140
tr|Q9W0I7|Q9W0I7_DROME,XBmRNA46909|XBXL10_1g25126
tr|Q7K2I4|Q7K2I4_DROME,XBmRNA28780|XBXL10_1g15404
tr|O76521|O76521_DROME,XBmRNA13754|XBXL10_1g7306
tr|Q7K5K0|Q7K5K0_DROME,XBmRNA24301|XBXL10_1g12859
tr|Q9VXE3|Q9VXE3_DROME,XBmRNA45668|XBXL10_1g24396
tr|Q9V3Q9|Q9V3Q9_DROME,XBmRNA72230|XBXL10_1g38237
tr|Q8SWT2|Q8SWT2_DROME,XBmRNA45019|XBXL10_1g24071
tr|A1Z759|A1Z759_DROME,XBmRNA3160|XBXL10_1g1782
tr|Q9VD58|Q9VD58_DROME,XBmRNA6446|XBXL10_1g3513
tr|Q9VGB6|Q9VGB6_DROME,XBmRNA28213|XBXL10_1g15130
tr|A1Z9P1|A1Z9P1_DROME,XBmRNA35794|XBXL10_1g19362
tr|Q0E910|Q0E910_DROME,XBmRNA3145|XBXL10_1g1775
tr|A8DYB0|A8DYB0_DROME,XBmRNA43965|XBXL10_1g23550
sp|Q9VLT5|POE_DROME,XBmRNA64144|XBXL10_1g34022
tr|X2JA38|X2JA38_DROME,XBmRNA1713|XBXL10_1g1096
sp|P33450|FAT_DROME,XBmRNA7312|XBXL10_1g4000
sp|Q24498|RYR_DROME,XBmRNA68402|XBXL10_1g36141
tr|Q9VAV5|Q9VAV5_DROME,XBmRNA4933|XBXL10_1g2794
sp|Q9VR91|HERC2_DROME,XBmRNA14648|XBXL10_1g7777
tr|A8JTM7|A8JTM7_DROME,XBmRNA76563|XBXL10_1g40664
sp|P37276|DYHC_DROME,XBmRNA67877|XBXL10_1g35915
tr|Q9W4Y3|Q9W4Y3_DROME,XBmRNA60876|XBXL10_1g32312
tr|A8JNJ6|A8JNJ6_DROME,XBmRNA68177|XBXL10_1g36047
tr|Q0E8P6|Q0E8P6_DROME,XBmRNA16020|XBXL10_1g8466
tr|Q9VWZ3|Q9VWZ3_DROME,XBmRNA7754|XBXL10_1g4197
sp|Q9VU08|VP13D_DROME,XBmRNA59276|XBXL10_1g31343
sp|Q9VC56|PUF_DROME,XBmRNA42674|XBXL10_1g22899
sp|Q8I8U7|TRA1_DROME,XBmRNA77712|XBXL10_1g41176
tr|Q9VAD3|Q9VAD3_DROME,XBmRNA52917|XBXL10_1g28181
sp|Q9W060|LYST_DROME,XBmRNA43341|XBXL10_1g23258
tr|Q9VML2|Q9VML2_DROME,XBmRNA7830|XBXL10_1g4241
sp|Q9VT28|FRY_DROME,XBmRNA1146|XBXL10_1g801
sp|Q9W4E2|NBEA_DROME,XBmRNA15850|XBXL10_1g8368
tr|Q9W425|Q9W425_DROME,XBmRNA25024|XBXL10_1g13207
tr|Q8IP51|Q8IP51_DROME,XBmRNA43622|XBXL10_1g23371
sp|A1Z713|VPS13_DROME,XBmRNA24586|XBXL10_1g12991
sp|Q9VB11|UNC80_DROME,XBmRNA76954|XBXL10_1g40836
tr|Q9VDY5|Q9VDY5_DROME,XBmRNA67623|XBXL10_1g35795
tr|Q400N2|Q400N2_DROME,XBmRNA76795|XBXL10_1g40778
sp|Q8IPJ3|LUBEL_DROME,XBmRNA52782|XBXL10_1g28106
sp|P51592|HYD_DROME,XBmRNA55950|XBXL10_1g29728
sp|P29993|ITPR_DROME,XBmRNA36839|XBXL10_1g19916
tr|Q9VSL8|Q9VSL8_DROME,XBmRNA24583|XBXL10_1g12988
